variant,product,colour,material,sku,pac_size,image,category,price
500ml,Rectangular Kraft Food Bowl,Kraft,Kraft,5MLREC,300,d3bbf0_57a14a4710694619a4d7fff87fa25eec~mv2.png,takeaway-containers,38.72
500ml,Round Kraft Food Bowl,Kraft,Kraft,5MLRKB,300,d3bbf0_75b3780d9d2e4688a5e49cef049ea8ce~mv2.jpeg,takeaway-containers,30.67
750ml,Rectangular Kraft Food Bowl,Kraft,Kraft,75MLREC,300,d3bbf0_f32e3fab7a014e3d9d84310ed10109dd~mv2.jpg,takeaway-containers,40.45
750ml,Round Kraft Food Bowl,Kraft,Kraft,75MLRKB,300,d3bbf0_1a247bb04d3e43d5abb5ee1454f26ab6~mv2.jpeg,takeaway-containers,32.38
755ml/26oz,Kraft Deli Box,Kraft,Kraft,NO1KDV,450,d3bbf0_3b73d4b2d2c64536bd21448f3adf8653~mv2.jpeg,takeaway-containers,49.24
900ml/36oz,Kraft Deli Box,Kraft,Kraft,NO5KDV,150,d3bbf0_93c632319cec4910aca4a2597fb7fc72~mv2.webp,takeaway-containers,45
Standard,8oz Kraft Soup Container,Kraft,Kraft,8SOUPCK,500,d3bbf0_7c4c7126ea2e4ce2a2a3ffa40e9ed32e~mv2.jpeg,takeaway-containers,35.73
Standard,Kraft Lid For 500/750ml Rectangular Bowl,Kraft,Kraft,575LREC,300,d3bbf0_99e7072aaa93434189c7bd6058dbc46d~mv2.webp,takeaway-containers,48.89
Standard,Kraft Vented Lid For 8oz Soup Container,Kraft,Kraft,8SOUPLD,500,d3bbf0_c73ae8dbccaf46ea938b25c1dd3e5c9c~mv2.webp,takeaway-containers,36.49
Large,Kraft Takeaway Bag,Kraft,Kraft,LRKTB,250,d3bbf0_8dec9a44a21c494b916450215ba633fa~mv2.png,takeaway-extras,27.92
Medium,Kraft Takeaway Bag,Kraft,Kraft,MRKTB,250,d3bbf0_ca191ff560d24f80b33b4a4c7bf6dadd~mv2.png,takeaway-extras,23.42
Standard,Compostable Disposable Wooden Fork,Natural,Wood,WCFRK,1000,d3bbf0_813ef541363441008646c6699b61689d~mv2.png,takeaway-extras,18.48
Standard,Compostable Disposable Wooden Knife,Natural,Wood,WCKNF,1000,d3bbf0_56d8bcf6359f4975bd1a1cfbea35220a~mv2.png,takeaway-extras,18.48
Standard,Compostable Disposable Wooden Spoon,Natural,Wood,WCSPN,1000,d3bbf0_2db504d46b494a9a935c6bc9ec2bed78~mv2.webp,takeaway-extras,18.48
Standard,Compostable Wooden Cutlery Kit (Fork/Knife/Spoon/Napkin),Natural,Wood,WFKPNK,250,d3bbf0_9a7228a6eeb8475f9a1f79ad50227964~mv2.jpg,takeaway-extras,39.6
Standard,Small Twisted Handle Takeaway Bag 18 x 8 x 22cm - Black,Black,Paper,TWBGBSM,300,d3bbf0_98dc91f1e534495ab0722acadc4f8ac4~mv2.png,takeaway-extras,47.12
